ProductID,Name,Description,Quantity,TagID,CategoryID,Price,BusinessID
1,Zenith Laptop 15 inch,High-performance ultrabook,150,2,7,1499.99,1
2,Echo Smart Speaker,Voice-controlled home assistant,400,7,17,49.99,6
3,Professional Chef Knife,8-inch stainless steel blade,250,2,38,75,17
4,Historical Atlas of Europe,Detailed maps and historical essays,600,2,27,35.5,3
5,Running Treadmill Pro,Foldable home treadmill,50,2,34,899,15
6,Waterproof Backpack,40L hiking backpack,120,3,14,55,4
7,Wireless Noise Cancelling Headphones,Over-ear comfort headphones,350,2,49,129.99,1
8,Bamboo Cutting Board Set,Eco-friendly kitchen set,550,3,38,29.99,17
9,Galaxy Smart Watch,Fitness tracking and notifications,280,7,16,249,6
10,Sci-Fi Dystopian Novel,A gripping tale of a future world,700,4,24,14.5,10
11,The Power of Habit,Self-help guide to building good habits,800,2,26,18,11
12,Men's Classic Denim Jeans,Straight fit dark wash,450,2,29,65,12
13,Women's Summer Dress,Floral print lightweight material,600,1,30,45,13
14,2-Person Tent Deluxe,Quick-setup waterproof tent,90,10,32,150,14
15,5lb Dumbbell Pair,Cast iron free weights,900,8,35,25.99,15
16,4K Mirrorless Camera,Professional quality camera body,40,2,36,1999,16
17,Robot Vacuum & Mop,Automatic floor cleaner,180,7,20,299,8
18,Modern Coffee Table,Oak wood minimalist design,30,5,23,250,9
19,10-Pack Microfiber Towels,All-purpose cleaning cloths,1200,8,39,19.99,2
20,Electric Leaf Blower,High-power cordless blower,60,10,40,119,7
21,Desktop Gaming PC RTX 4080,High-end liquid-cooled gaming machine,30,2,18,2999,1
22,Smart Plug Set (4-pack),Control any device with your phone,600,7,17,35.99,6
23,Non-Stick Fry Pan 12 inch,Ceramic non-stick surface,300,2,38,45,17
24,Biography of Elon Musk,In-depth look at the entrepreneur,450,2,27,27.99,11
25,Heavy Bag Punching Set,Full kit for home boxing workout,40,10,35,199,15
26,Inflatable Kayak,2-person recreational kayak,70,5,45,349,20
27,Slim Fit Black Suit,Men's formal wear,100,5,12,250,12
28,Women's Winter Parka,Insulated waterproof jacket,200,5,31,180,13
29,All-Season Sleeping Bag,Comfort rating to 0F,150,2,33,89.99,14
30,Digital SL-R Camera Body,Entry-level photography camera,110,4,36,650,16
31,Compact Refrigerator,Mini fridge for office or dorm,90,2,20,159.99,8
32,Queen Size Bed Frame,Wood slat foundation,45,2,22,399,9
33,Premium Glass Cleaner,Streak-free formula,950,3,39,12.5,2
34,Hand Pruning Shears,Ergonomic garden tool,750,2,40,18.99,7
35,40 inch Smart LED TV,UHD display with streaming apps,190,2,48,349.99,1
36,Google Home Mini,Small smart speaker,700,7,17,29.99,6
37,Cast Iron Skillet,Pre-seasoned 10-inch skillet,400,10,38,39.99,17
38,Action Thriller Book,Fast-paced adventure,550,1,25,13.99,10
39,DIY Home Improvement Guide,Non-fiction practical manual,650,2,26,22.5,11
40,Hiking Boots Men's,Waterproof leather boots,300,10,43,120,12
41,Women's Ankle Boots,Leather comfortable fit,480,2,43,85,13
42,Family Camping Tent,8-person capacity - 2-room design,50,2,32,249.99,14
43,Yoga Mat & Blocks Set,Non-slip mat and foam blocks,700,3,15,35,15
44,4K Video Drone,Foldable drone with 3-axis gimbal,70,5,37,850,16
45,Espresso Machine,Semi-automatic 15-bar pump,130,2,20,279,8
46,Sectional Sofa,L-shaped velvet upholstery,20,5,23,1200,9
47,All-Purpose Degreaser,Industrial strength cleaner,1100,8,39,15,2
48,Telescopic Ladder,Aluminum extension ladder,90,10,40,140,7
49,Portable Bluetooth Speaker,Long battery life waterproof,500,2,49,69.99,1
50,Smart Lighting Kit,Color-changing LED bulbs,800,7,17,59.99,6
51,Silicone Baking Mat Set,Non-stick reusable baking mats,750,3,38,19.5,17
52,Science Fiction Collection,Box set of classic sci-fi novels,350,5,24,49.99,10
53,Biography of Marie Curie,Story of the famous scientist,400,2,27,19.99,11
54,Men's Golf Polo Shirt,Moisture-wicking fabric,600,2,28,40,12
55,Women's Knit Sweater,Soft wool blend various colors,550,2,31,60,13
56,Pillow & Blanket Combo,Cozy set for cold nights,650,1,33,45,14
57,Resistance Bands Set,Various levels for strength training,950,8,35,19.99,15
58,Compact Digital Camera,Point-and-shoot camera,250,4,36,199.99,16
59,Microwave Oven,Countertop model 1000W,220,2,20,89.99,8
60,Outdoor Patio Set (5pc),Wicker chairs and glass table,15,5,23,450,9
61,Heavy Duty Tarpaulin,Waterproof cover large size,100,10,40,29.99,7
62,55 inch OLED Smart TV,Premium ultra-thin display,70,5,48,1199,1
63,Smart Doorbell Camera,Video doorbell with motion detection,320,7,17,149,6
64,Wok Pan Carbon Steel,Traditional carbon steel wok,280,10,38,34.99,17
65,Fantasy Novel Series,5-book epic fantasy set,420,5,10,59.99,10
66,Inspirational Quote Book,Daily motivations and advice,750,2,26,16.5,11
67,Men's Running Shoes,Lightweight athletic sneakers,500,2,43,89.99,12
68,Women's High Heels,Elegant black pumps,400,5,43,70,13
69,Camping Hammock Double,Two-person nylon hammock,600,3,14,35,14
70,Adjustable Kettlebell,Weight adjustable kettlebell,80,10,35,120,15
71,Mini Drone Quadcopter,Beginner friendly drone,200,4,37,55,16
72,Blender High Speed,Professional kitchen blender,160,2,20,99.99,8
73,Desk with Drawers,Home office desk mahogany finish,60,2,47,199,9
74,Eco-Friendly Dish Soap,Plant-based biodegradable soap,1500,3,39,8.5,2
75,Small Shovel Set,Hand tools for gardening,550,2,40,22,7
76,Ultra Slim Power Bank,10000mAh portable charger,850,2,10,25,1
77,Smart Thermostat,Learning home temperature control,240,7,17,179,6
78,Soup Pot Stainless Steel,Heavy-bottom stock pot,310,2,38,55,17
79,Horror Short Stories,Collection of chilling tales,500,1,25,12.99,10
80,Guide to Meditation,Mindfulness and relaxation techniques,600,2,26,15.99,11
81,Men's Casual Button-Up,Cotton long-sleeve shirt,400,2,28,49,12
82,Women's Pencil Skirt,Office wear formal skirt,350,2,30,40,13
83,Lightweight Hiking Tent,1-person minimalist tent,110,3,32,99.99,14
84,Exercise Bike Indoor,Stationary cycling machine,55,2,34,399,15
85,GoPro Style Action Camera,Rugged waterproof camera,150,4,36,150,16
86,Large Capacity Washer,Front-loading washing machine,20,5,21,799,8
87,Bookcase 5-Shelf,Tall wooden bookcase,80,2,23,120,9
