BusinessID,BusinessName,BusinessEmail,address_id,Phone
1,Global Tech Solutions,support@globaltech.com,1,555-100-0001
2,Home Harmony Decor,info@homeharmony.net,2,555-100-0002
3,The Avid Reader,sales@avidreader.org,3,555-100-0003
4,Outdoor Adventure Gear,contact@outdoors.biz,4,555-100-0004
5,Style Central Apparel,hello@stylecentral.com,5,555-100-0005
6,Future Smart Home,service@fsh.tech,6,555-100-0006
7,Pro Tools Depot,support@protools.com,7,555-100-0007
8,Fresh Start Kitchen,info@freshstart.net,8,555-100-0008
9,Sleep Well Furniture,sales@sleepwell.org,9,555-100-0009
10,Sci-Fi & Fantasy Inc.,contact@scifi-fantasy.com,10,555-100-0010
11,The Wellness Library,hello@wellnesslibrary.com,11,555-100-0011
12,Menswear Modern,service@menswear.com,12,555-100-0012
13,Womenswear Elite,support@womenswear.com,13,555-100-0013
14,Hike & Camp Supply,info@hikecamp.net,14,555-100-0014
15,Peak Fitness Equipment,sales@peakfitness.org,15,555-100-0015
16,Digital Camera Zone,contact@camerazone.com,16,555-100-0016
17,Durable Cookware Co.,hello@durablecookware.com,17,555-100-0017
18,The Bookworm Outlet,service@bookworm.com,18,555-100-0018
19,Shoe City USA,support@shoecity.com,19,555-100-0019
20,Water Sports Fun,info@watersportsfun.net,20,555-100-0020
